,,,,,Goalie Stats,,,,,,,,,,,,,,,,,,,Scoring,,,,
Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
61,Ivan Fedotov,28,PHI,G,17,16,4,8,3,51,413,362,0.877,3.26,0,937:18:00,4,0.25,6,126,-10.4,3.52,1.4,0,0,0,0,
62,Vítek Vaněček,29,SJS,G,16,15,3,9,2,57,467,410,0.878,4.01,0,853:39:00,5,0.333,5,124,-11.1,4.36,1.7,0,1,1,0,
63,Aleksei Kolosov,23,PHI,G,15,11,4,8,1,45,347,302,0.87,3.45,0,783:06:00,4,0.364,4,132,-10.9,3.75,0.9,0,0,0,0,
64,Daniil Tarasov,25,CBJ,G,14,14,5,7,2,52,421,369,0.876,3.69,1,845:01:00,5,0.357,4,126,-10.6,3.98,1.4,0,1,1,0,
65,Scott Wedgewood,32,2TM,G,14,12,6,5,1,36,354,318,0.898,2.84,1,760:20:00,4,0.333,3,103,-1.2,3.08,2,0,0,0,0,
66,Scott Wedgewood,32,NSH,G,5,4,1,2,1,16,131,115,0.878,3.69,0,260:01:00,1,0.25,2,124,-3.1,3.92,0.5,0,0,0,0,
67,Scott Wedgewood,32,COL,G,9,8,5,3,0,20,223,203,0.91,2.4,1,500:19:00,3,0.375,1,91,1.9,2.64,1.5,0,0,0,0,
68,Yaroslav Askarov,22,SJS,G,13,12,4,6,2,37,357,320,0.896,3.1,0,716:48:00,7,0.583,3,105,-1.9,3.35,2,0,1,1,0,
69,Eric Comrie,29,WPG,G,13,13,5,7,1,33,375,342,0.912,2.58,1,768:32:00,9,0.692,0,90,3.9,2.81,2.7,0,0,0,0,
70,Jonas Johansson,29,TBL,G,13,12,6,5,1,40,369,329,0.892,3.24,1,741:00:00,4,0.333,3,110,-3.7,3.48,1.8,0,0,0,0,
71,Leevi Merilainen,22,OTT,G,12,11,8,3,1,22,295,273,0.925,1.99,3,662:59:00,7,0.636,3,76,7,2.17,2.5,0,0,0,0,
72,Joel Blomqvist,23,PIT,G,11,10,3,8,0,35,337,302,0.896,3.54,0,593:48:00,5,0.5,2,106,-1.9,3.84,1.8,0,0,0,0,
73,Cayden Primeau,25,MTL,G,11,7,2,3,1,41,250,209,0.836,4.7,0,523:42:00,1,0.143,4,167,-16.4,5.04,-0.2,0,0,0,2,
74,James Reimer,36,2TM,G,11,9,2,6,1,29,284,255,0.898,2.95,0,590:13:00,7,0.778,2,104,-1.1,3.25,1.6,0,0,0,0,
75,James Reimer,36,ANA,G,2,2,0,2,0,9,66,57,0.864,4.5,0,120:00:00,1,0.5,1,139,-2.5,5,0.1,0,0,0,0,
76,James Reimer,36,BUF,G,9,7,2,4,1,20,218,198,0.908,2.55,0,470:13:00,6,0.857,1,93,1.4,2.81,1.5,0,0,0,0,
77,Semyon Varlamov,36,NYI,G,10,10,3,4,3,29,262,233,0.889,2.89,0,602:24:00,5,0.5,3,113,-3.2,3.09,1.2,0,0,0,0,
78,Frederik Andersen,35,CAR,G,9,9,6,3,0,19,220,201,0.914,2.12,1,537:07:00,6,0.667,2,88,2.6,2.23,1.6,0,1,1,0,
79,Jakub Dobes,23,MTL,G,9,9,5,2,1,23,249,226,0.908,2.71,1,510:05:00,4,0.444,1,94,1.5,2.94,1.7,0,0,0,0,
80,Ville Husso,29,DET,G,9,8,1,5,2,27,202,175,0.866,3.69,0,438:49:00,4,0.5,3,136,-7.1,3.97,0.5,0,0,0,0,
81,Devon Levi,23,BUF,G,9,8,2,7,0,33,258,225,0.872,4.12,0,480:38:00,2,0.25,2,130,-7.6,4.49,0.8,0,0,0,0,
82,Spencer Martin,29,CAR,G,9,7,3,4,1,27,175,148,0.846,3.89,1,415:59:00,1,0.143,5,157,-9.8,4.18,0,0,0,0,0,
83,Marcus Högberg,30,NYI,G,7,5,2,2,0,8,151,143,0.947,1.45,0,332:01:00,5,1,0,54,6.8,1.63,1.6,0,0,0,0,
84,Arturs Silovs,23,VAN,G,7,6,1,4,1,25,163,138,0.847,4.11,0,365:00:00,1,0.167,3,156,-9,4.44,0,0,0,0,0,
85,Dennis Hildeby,23,TOR,G,6,6,3,3,0,20,156,136,0.872,3.33,0,360:49:00,2,0.333,3,130,-4.7,3.66,0.5,0,0,0,0,
86,Dustin Tokarski,35,CAR,G,6,6,4,2,0,13,132,119,0.902,2.18,1,358:19:00,3,0.5,2,100,0,2.34,0.8,0,0,0,0,
87,Jet Greaves,23,CBJ,G,5,5,2,1,2,15,159,144,0.906,2.98,0,301:38:00,2,0.4,0,96,0.6,3.18,1,0,0,0,0,
88,Jaxson Stauber,25,UTA,G,4,4,2,1,1,9,120,111,0.925,2.23,1,242:25:00,3,0.75,0,76,2.8,2.48,1,0,0,0,0,
89,Drew Commesso,22,CHI,G,2,1,0,1,0,4,26,22,0.846,3.36,0,71:21:00,0,0,1,157,-1.4,3.36,0,0,0,0,0,
90,Nico Daws,24,NJD,G,2,1,1,0,0,2,34,32,0.941,1.44,0,83:15:00,1,1,0,60,1.3,1.44,0.3,0,0,0,0,
91,Trent Miner,23,COL,G,2,1,0,1,0,4,33,29,0.879,2.62,0,91:38:00,0,0,0,123,-0.8,2.62,0.1,0,0,0,0,
92,Matt Murray,30,TOR,G,2,2,1,1,0,7,58,51,0.879,3.54,0,118:39:00,0,0,0,123,-1.3,4.05,0.2,0,0,0,0,
93,Mads Søgaard,24,OTT,G,2,1,1,1,0,8,40,32,0.8,5.24,0,91:33:00,0,0,1,203,-4.1,5.9,-0.2,0,0,0,2,
94,Jesper Wallstedt,22,MIN,G,2,2,0,2,0,8,51,43,0.843,4.09,0,117:26:00,0,0,1,160,-3,4.6,0,0,0,0,2,
95,Pheonix Copley,33,LAK,G,1,0,0,0,0,2,12,10,0.833,4.37,0,27:29:00,0,,0,170,-0.8,4.37,0,0,0,0,0,
96,Sebastian Cossa,22,DET,G,1,0,1,0,0,2,14,12,0.857,2.67,0,45:00:00,0,,0,145,-0.6,2.67,0,0,0,0,0,
97,Louis Domingue,32,NYR,G,1,1,1,0,0,2,27,25,0.926,2,0,60:00:00,1,1,0,75,0.7,2,0.2,0,0,0,0,
98,Kaapo Kähkönen,28,COL,G,1,1,0,1,0,4,20,16,0.8,4.12,0,58:16:00,0,0,1,203,-2,4.12,-0.1,0,0,0,0,
99,Yaniv Perets,24,CAR,G,1,0,0,0,0,1,7,6,0.857,7.32,0,8:12,0,,0,145,-0.3,7.32,0,0,0,0,0,
100,Erik Portillo,24,LAK,G,1,1,1,0,0,1,29,28,0.966,1.02,0,58:37:00,1,1,0,35,1.9,1.02,0.4,0,0,0,0,
101,Akira Schmid,24,VEG,G,1,0,0,0,0,0,12,12,1,0,0,33:25:00,0,,0,0,1.2,0,0.2,0,0,0,0,
102,Jakub Skarek,25,NYI,G,1,1,0,1,0,5,32,27,0.844,5.29,0,56:45:00,0,0,1,159,-1.9,5.29,0,0,0,0,0,
,League Average,,,,,,,,,,,,0.902,2.79,,,,0.541,,,,3,,,,,,
